447;AUZ;Aurora Municipal Airport (FAA: ARR);Aurora, Illinois, United States
448;AVA;Anshun Huangguoshu Airport;Anshun, Guizhou, China
449;AVB;Aviano Air Base;Aviano, Pordenone, Italy
450;AVG;Auvergne Airport;Auvergne Station, Northern Territory, Australia
451;AVI;Máximo Gómez Airport;Ciego de Ávila, Cuba
452;AVK;Arvaikheer Airport;Arvaikheer, Mongolia
453;AVL;Asheville Regional Airport;Asheville, North Carolina, United States
454;AVN;Avignon – Provence Airport;Avignon, Provence-Alpes-Côte d'Azur, France
455;AVO;Avon Park Executive Airport;Avon Park, Florida, United States
456;AVP;Wilkes-Barre/Scranton International Airport;Wilkes-Barre / Scranton, Pennsylvania, United States
457;AVU;Avu Avu Airport;Avu Avu, Guadalcanal, Solomon Islands
458;AVV;Avalon Airport;Avalon, Victoria, Australia
459;AVW;Marana Regional Airport (FAA: AVQ);Tucson, Arizona, United States
460;AVX;Catalina Airport;Avalon, California, United States
461;AWA;Awasa Airport;Awasa, Ethiopia
462;AWB;Awaba Airport;Awaba, Papua New Guinea
463;AWD;Aniwa Airport;Aniwa Island, Tafea, Vanuatu
464;AWE;Alowe Airport;Alowe, Gabon
465;AWK;Wake Island Airfield;Wake Island, United States Minor Outlying Islands
466;AWM;West Memphis Municipal Airport;West Memphis, Arkansas, United States
467;AWN;Alton Downs Airport;Alton Downs, South Australia, Australia
468;AWP;Austral Downs Airport;Austral Downs, Northern Territory, Australia
469;AWR;Awar Airport;Awar, Papua New Guinea
470;AWZ;Ahvaz International Airport;Ahvaz, Iran
471;AXA;Clayton J. Lloyd International Airport;The Valley, British Overseas Territory of Anguilla
472;AXB;Maxson Airfield (FAA: 89N);Alexandria Bay, New York, United States
473;AXC;Aramac Airport;Aramac, Queensland, Australia
474;AXD;Alexandroupoli Airport (Dimokritos Airport);Alexandroupoli, Greece
475;AXE;Xanxere Airport;Xanxer?, Santa Catarina, Brazil
476;AXF;Alxa Left Banner Bayanhot Airport;Alxa Left Banner, Inner Mongolia, China
477;AXG;Algona Municipal Airport (FAA: AXA);Algona, Iowa, United States
478;AXJ;Amakusa Airfield[1];Amakusa, Amakusa Islands, Japan
479;AXK;Ataq Airport;Ataq, Yemen
480;AXL;Alexandria Airport;Alexandria Station, Northern Territory, Australia
481;AXM;El Edén International Airport;Armenia, Colombia
482;AXN;Alexandria Municipal Airport (Chandler Field);Alexandria, Minnesota, United States
483;AXP;Spring Point Airport;Spring Point, Acklins Island, Bahamas
484;AXR;Arutua Airport;Arutua, Tuamotus, French Polynesia
485;AXS;Altus/Quartz Mountain Regional Airport;Altus, Oklahoma, United States
486;AXT;Akita Airport;Akita, Honshu, Japan
487;AXU;Axum Airport;Axum, Ethiopia
488;AXV;Neil Armstrong Airport;Wapakoneta, Ohio, United States
489;AXX;Angel Fire Airport;Angel Fire, New Mexico, United States
490;AYA;Ayapel Airport;Ayapel, Colombia
491;AYC;Ayacucho Airport;Ayacucho, Colombia
492;AYD;Alroy Downs Airport;Alroy Downs, Northern Territory, Australia
493;AYG;Yaguara Airport;Yaguara, Colombia
494;AYI;Yari Airport;Yari, Colombia
495;AYK;Arkalyk Airport;Arkalyk, Kazakhstan
496;AYL;Anthony Lagoon Airport;Anthony Lagoon, Northern Territory, Australia
497;AYM;Yas Island Seaplane Base[1];Yas Island, Abu Dhabi, United Arab Emirates
498;AYN;Anyang Airport;Anyang, Henan, China
499;AYO;Juan de Ayolas Airport;Ayolas, Paraguay
500;AYP;Coronel FAP Alfredo Mendívil Duarte Airport;Ayacucho, Peru
501;AYQ;Ayers Rock Airport;Yulara, Northern Territory, Australia
502;AYR;Ayr Airport;Ayr, Queensland, Australia
503;AYS;Waycross–Ware County Airport;Waycross, Georgia, United States
504;AYT;Antalya Airport;Antalya, Turkey
505;AYU;Aiyura Airport;Aiyura, Papua New Guinea
506;AYW;Ayawasi Airport;Ayawasi, Indonesia
507;AYY;Arugam Bay Seaplane Base[1];Pottuvil, Sri Lanka
508;AZA;Phoenix–Mesa Gateway Airport (FAA: IWA);Phoenix, Arizona, United States
509;AZB;Amazon Bay Airport;Amazon Bay, Papua New Guinea
510;AZD;Shahid Sadooghi Airport;Yazd, Iran
511;AZG;Pablo L. Sidar Airport;Apatzingán, Michoacán, Mexico
512;AZI;Al Bateen Executive Airport;Abu Dhabi, United Arab Emirates
513;AZL;Fazenda Tucunaré Airport[1];Sapezal, Mato Grosso, Brazil
514;AZN;Andizhan Airport;Andizhan, Uzbekistan
515;AZO;Kalamazoo/Battle Creek International Airport;Kalamazoo, Michigan, United States
516;AZP;Jorge Jiménez Cantú National Airport;Ciudad López Mateos, State of Mexico, Mexico
517;AZR;Touat-Cheikh Sidi Mohamed Belkebir Airport;Adrar, Algeria
518;AZS;Samaná El Catey International Airport;El Catey, Dominican Republic
519;AZT;Zapatoca Airport;Zapatoca, Colombia
520;AZZ;Ambriz Airport;Ambriz, Angola
