91;ADV;Ed Daein Airport;Ed Daein, Sudan
92;ADW;Andrews Field (Andrews Air Force Base);Camp Springs, Maryland, United States
93;ADX;RAF Leuchars;St Andrews, Scotland, United Kingdom
94;ADY;Alldays Airport;Alldays, South Africa
95;ADZ;Gustavo Rojas Pinilla International Airport;San Andres Island, Colombia
96;AEA;Abemama Atoll Airport;Abemama Atoll, Kiribati
97;AEB;Baise Bama Airport;Baise, Guangxi, China
98;AEE;Adareil Airport[1];Adareil, South Sudan
99;AEG;Aek Godang Airport;Padang Sidempuan, Indonesia
100;AEH;Abéché Airport;Abéché, Chad
101;AEK;Aseki Airport;Aseki, Papua New Guinea
102;AEL;Albert Lea Municipal Airport;Albert Lea, Minnesota, United States
103;AEO;Aioun el Atrouss Airport;Aioun el Atrouss, Mauritania
104;AEP;Jorge Newbery Airpark;Buenos Aires, Argentina
105;AER;Sochi International Airport;Sochi, Krasnodar Krai, Russia
106;AES;?lesund Airport, Vigra;?lesund, Norway
107;AET;Allakaket Airport (FAA: 6A8);Allakaket, Alaska, United States
108;AEU;Abu Musa Airport[1];Abu Musa Island, Iran
109;AEX;Alexandria International Airport;Alexandria, Louisiana, United States
110;AEY;Akureyri Airport;Akureyri, Iceland
111;AFA;San Rafael Airport;San Rafael, Mendoza, Argentina
112;AFD;Port Alfred Airport;Port Alfred, South Africa
113;AFF;United States Air Force Academy Airfield;Colorado Springs, Colorado, United States
114;AFI;Amalfi Airport;Amalfi, Colombia
115;AFK;Kondavattavan Tank Seaplane Base[1];Ampara, Sri Lanka
116;AFL;Alta Floresta Airport;Alta Floresta, Mato Grosso, Brazil
117;AFN;Jaffrey Airport–Silver Ranch;Jaffrey, New Hampshire, United States
118;AFO;Afton Municipal Airport;Afton, Wyoming, United States
119;AFR;Afore Airport;Afore, Papua New Guinea
120;AFS;Zarafshan Airport;Zarafshan, Uzbekistan
121;AFT;Afutara Airport;Afutara, Malaita, Solomon Islands
122;AFW;Fort Worth Alliance Airport;Fort Worth, Texas, United States
123;AFY;Afyon Airport;Afyon, Turkey
124;AFZ;Sabzevar Airport[1];Sabzevar, Iran
125;AGA;Agadir–Al Massira Airport;Agadir, Morocco
126;AGB;Augsburg Airport;Augsburg, Bavaria, Germany
127;AGC;Allegheny County Airport;Pittsburgh, Pennsylvania, United States
128;AGD;Anggi Airport;Anggi, Indonesia
129;AGE;Wangerooge Airport;Wangerooge, Lower Saxony, Germany
130;AGF;Agen La Garenne Airport;Agen, Aquitaine, France
131;AGG;Angoram Airport;Angoram, Papua New Guinea
132;AGH;Ängelholm–Helsingborg Airport (former ICAO: ESDB);Ängelholm, Sweden
133;AGI;Wageningen Airstrip;Wageningen, Suriname
134;AGJ;Aguni Airport;Aguni, Okinawa, Japan
135;AGK;Kagua Airport;Kagua, Papua New Guinea
136;AGL;Wanigela Airport;Wanigela, Papua New Guinea
137;AGN;Angoon Seaplane Base;Angoon, Alaska, United States
138;AGO;Magnolia Municipal Airport;Magnolia, Arkansas, United States
139;AGP;Málaga Airport;Málaga, Andalusia, Spain
140;AGQ;Agrinion Airport;Agrinion, Greece
141;AGR;Agra Airport;Agra, Uttar Pradesh, India
142;AGS;Augusta Regional Airport at Bush Field;Augusta, Georgia, United States
143;AGT;Guaraní International Airport;Ciudad del Este, Paraguay
144;AGU;Lic. Jesús Terán Peredo International Airport;Aguascalientes, Aguascalientes, Mexico
145;AGV;Oswaldo Guevara Mujica Airport;Acarigua, Venezuela
146;AGW;Agnew Airport;Agnew, Queensland, Australia
147;AGX;Agatti Aerodrome;Agatti Island, Lakshadweep, India
148;AGZ;Aggeneys Airport;Aggeneys, South Africa
149;AHB;Abha Regional Airport;Abha, Saudi Arabia
150;AHC;Amedee Army Airfield;Herlong, California, United States
